date,0
2021-08-20,1.0
2021-08-23,1.0
2021-08-24,1.0
2021-08-25,1.0
2021-08-26,1.0
2021-08-27,1.0
2021-08-30,1.0
2021-08-31,1.0
2021-09-01,1.0
2021-09-02,1.0
2021-09-03,1.0
2021-09-06,1.0
2021-09-07,1.0
2021-09-08,1.0
2021-09-09,1.0
2021-09-10,1.0
2021-09-13,1.0
2021-09-14,1.0
2021-09-15,1.0
2021-09-16,1.0
2021-09-17,1.0
2021-09-22,1.0
2021-09-23,1.0
2021-09-24,1.0
2021-09-27,1.0
2021-09-29,1.0
2021-10-27,1.0
2021-10-28,1.0
2021-10-29,1.0
2021-11-01,1.0
2021-11-02,1.0
2021-11-03,1.0
2021-11-04,1.0
2021-11-05,1.0
2021-11-08,1.0
2021-11-09,1.0
2021-11-10,1.0
2021-11-11,1.0
2021-11-12,1.0
2021-11-15,1.0
2021-11-16,1.0
2021-11-17,1.0
2021-11-18,1.0
2021-11-19,1.0
2021-11-22,1.0
2021-11-23,1.0
2021-12-02,1.0
2021-12-03,1.0
2021-12-06,1.0
2021-12-07,1.0
2021-12-08,1.0
2021-12-09,1.0
2021-12-10,1.0
2021-12-13,1.0
2021-12-14,1.0
2021-12-15,1.0
2021-12-16,1.0
2021-12-17,1.0
2021-12-20,1.0
2021-12-23,1.0
2021-12-24,1.0
2021-12-27,1.0
2021-12-28,1.0
2021-12-29,1.0
2021-12-30,1.0
2021-12-31,1.0
2022-01-04,1.0
2022-01-05,1.0
2022-01-06,1.0
2022-01-07,1.0
2022-01-10,1.0
2022-01-11,1.0
2022-01-12,1.0
2022-01-13,1.0
2022-01-14,1.0
2022-01-17,1.0
2022-01-18,1.0
2022-01-27,1.0
2022-01-28,1.0
2022-02-07,1.0
2022-02-08,1.0
2022-02-09,1.0
2022-02-10,1.0
2022-02-11,1.0
2022-02-14,1.0
2022-02-15,1.0
2022-02-16,1.0
2022-02-17,1.0
2022-02-18,1.0
2022-02-21,1.0
2022-02-22,1.0
2022-02-23,1.0
2022-02-24,1.0
2022-02-25,1.0
2022-02-28,1.0
2022-03-01,1.0
2022-03-02,1.0
2022-03-03,1.0
2022-03-04,1.0
2022-03-07,1.0
2022-03-08,1.0
2022-03-09,1.0
2022-03-10,1.0
2022-03-11,1.0
2022-03-14,1.0
2022-03-15,1.0
2022-03-16,1.0
2022-03-17,1.0
2022-03-18,1.0
2022-03-21,1.0
2022-03-22,1.0
2022-03-23,1.0
2022-03-24,1.0
2022-03-25,1.0
2022-03-28,1.0
2022-03-29,1.0
2022-03-30,1.0
2022-03-31,1.0
2022-04-01,1.0
2022-04-06,1.0
2022-04-07,1.0
2022-04-11,1.0
2022-04-12,1.0
2022-04-13,1.0
2022-04-14,1.0
2022-04-15,1.0
2022-04-18,1.0
2022-04-19,1.0
2022-04-20,1.0
2022-04-29,0.9994
2022-05-05,0.9982668361059633
2022-05-06,0.9937684550828638
2022-05-09,0.9857980455660892
2022-05-10,0.9819721717854676
2022-05-11,0.970345872551467
2022-05-12,0.9676058952607035
2022-05-13,0.966431545785694
2022-05-16,0.9769435082371467
2022-05-17,0.968821524442798
2022-05-19,0.9662814812120719
2022-05-20,0.9601750452588839
2022-05-23,0.9518177374679043
2022-05-24,0.9636424840980097
2022-05-25,0.9671554254819721
2022-05-26,0.9661770526664061
2022-06-13,0.960357104247904
2022-06-14,0.9531463880635128
2022-06-15,0.9371550346388717
2022-06-16,0.940235207240399
2022-06-17,0.9398303989974244
2022-06-20,0.930055665543399
2022-06-21,0.9360554277161395
2022-06-22,0.9337899772047857
2022-06-23,0.933494965636617
2022-06-24,0.9302659991460087
2022-06-27,0.9316960995965063
2022-06-28,0.933171509424027
2022-06-29,0.9339043744104379
2022-06-30,0.9357981887443223
2022-07-01,0.931206437702621
2022-07-04,0.9306705543520987
2022-07-05,0.9336158418775129
2022-07-06,0.9296802974919484
2022-07-07,0.9257999047862768
2022-07-08,0.9273153782422652
2022-07-11,0.9231647361312522
2022-07-12,0.9286226026288571
2022-07-14,0.9332824858248604
2022-07-15,0.9411172251022636
2022-07-18,0.9336565516108101
2022-07-19,0.9338218164931152
2022-07-20,0.9318755531488429
2022-07-21,0.9220215560153489
2022-07-22,0.9296701489226721
2022-07-25,0.9344755010243778
2022-07-26,0.9419323961519039
2022-07-27,0.9421990691170175
2022-07-28,0.9349489554016205
2022-07-29,0.9336866105941657
2022-08-25,0.9425377754384577
2022-08-26,0.939246514766913
2022-08-29,0.9416391676314518
2022-08-30,0.9389538567017589
2022-08-31,0.9353853487019868
2022-09-01,0.9281385383868683
2022-09-02,0.9259805548322592
2022-09-05,0.9406269710578983
2022-09-06,0.9473262233938244
2022-09-07,0.9449741175990588
2022-09-08,0.950766891506361
2022-09-09,0.9450320164025211
2022-09-13,0.9481581998872418
2022-09-14,0.9487403089801802
2022-09-15,0.9430716373357657
2022-09-16,0.9462366924578159
2022-09-19,0.9679835050084677
2022-09-20,0.9734875604426005
2022-09-21,0.9674203444077568
2022-09-22,0.9677060633210166
2022-09-23,0.9663648799507062
2022-09-26,0.9888534794070478
2022-09-27,0.9827520849118374
2022-09-28,0.9840275471666105
2022-09-29,0.9874488304251644
2022-09-30,0.9806848400941566
2022-10-10,0.9900594219351881
2022-10-11,0.9904843930064908
2022-10-12,0.9796118698383806
2022-10-14,0.9802722404632593
2022-10-17,0.9773662240727322
2022-10-18,0.9845078996564851
2022-10-19,0.9894413180131634
2022-10-20,0.983396212600201
2022-10-21,0.9928964548978695
2022-10-24,0.9904884341536859
2022-10-25,0.9980035233472917
2022-10-26,0.9746065546828678
2022-10-28,0.9781349664598971
2022-10-31,0.9654964475005203
2022-11-01,0.9516631660121264
2022-11-02,0.9536635031965343
2022-11-03,0.9514381348847154
2022-11-04,0.9521976460212751
2022-11-07,0.9364219591264522
2022-11-08,0.9348254086509487
2022-11-09,0.9341536791646056
2022-11-10,0.9322478370673631
2022-11-11,0.9224665610180489
2022-11-14,0.9083227695909174
2022-11-15,0.8966211864919398
2022-11-16,0.9003652158208852
2022-11-17,0.8925912297273862
2022-11-18,0.8930553578799562
2022-11-21,0.8951517456607478
2022-11-22,0.8903272687476625
2022-11-23,0.8916872917729569
2022-11-24,0.8913085176167392
2022-11-25,0.8843886337828865
2022-11-28,0.8955055014412475
2022-11-29,0.8873497190315848
2022-11-30,0.8900032018159438
2022-12-01,0.8807150627825606
2022-12-02,0.8726847588979858
2022-12-26,0.8758998045942012
2022-12-27,0.8686887673561084
2022-12-28,0.8682280823078717
2022-12-29,0.8728405213812741
2022-12-30,0.8726125742173422
2023-01-03,0.8706322296339694
2023-01-04,0.8734585374194843
2023-01-05,0.876229208737887
2023-01-06,0.8664676991846704
2023-01-09,0.8588423645890315
2023-01-10,0.8597221344858944
2023-01-11,0.8521066933541994
2023-02-02,0.850208805136118
2023-02-03,0.8519613388118785
2023-02-06,0.8489485123164673
2023-02-07,0.8396771316607682
2023-02-17,0.8420386227609409
2023-02-20,0.8338654312883497
2023-02-21,0.8246276584816332
2023-02-22,0.8262711802433736
2023-02-23,0.8240124673269202
2023-02-24,0.8241838923311081
2023-02-27,0.8300351012053252
2023-02-28,0.8286090982456096
2023-03-01,0.8389249647707995
2023-03-02,0.8465401202407707
2023-03-03,0.8378289307000065
2023-03-06,0.841994288322882
2023-03-07,0.8371403294478428
2023-03-08,0.8414870600856341
2023-03-09,0.8437859016355084
2023-03-10,0.8483680585472395
2023-03-13,0.8681085556060028
2023-03-14,0.859939666761557
2023-03-15,0.8494930956830216
2023-03-16,0.8566682441803446
2023-03-17,0.8683107298415909
2023-03-20,0.8642947116348292
2023-03-21,0.8705128815044467
2023-03-22,0.8779321999663731
2023-03-23,0.8888496537801159
2023-03-24,0.8969564481083186
2023-03-27,0.9048930948908881
2023-03-28,0.9035112139777555
2023-03-29,0.9042820122248593
2023-03-30,0.8983192260827197
2023-03-31,0.9157110812568598
2023-04-03,0.9268979314566095
2023-04-04,0.9397749387197237
2023-04-06,0.9378981319362095
2023-04-07,0.9380089993991673
2023-04-10,0.9250464418312011
2023-04-11,0.926811601441841
2023-04-12,0.9430745906373209
2023-04-13,0.9385406299751462
2023-04-14,0.9381739298506212
2023-04-18,0.9496307984561685
2023-04-19,0.9586731252558206
2023-04-20,0.9784215638267741
2023-04-21,0.9773258087863501
2023-04-24,0.9926477774495994
2023-04-25,1.0084184747439393
2023-04-26,0.9942080836814943
2023-04-27,0.9863635328682068
2023-04-28,1.0031258014870226
2023-05-04,0.9952085103184768
2023-05-05,0.9856917507350639
2023-05-08,0.9805159205060522
2023-05-09,0.9757497821232524
2023-05-10,0.9649436398579478
2023-05-11,0.949007486943019
2023-05-12,0.9539295721486802
2023-05-15,0.940894284448562
2023-05-16,0.9302697416409369
2023-05-17,0.9325858968892985
2023-05-18,0.9603549293916889
2023-05-19,0.958881578588108
2023-05-22,0.9486776086093449
2023-05-23,0.944712006698198
2023-05-24,0.9393896231137557
2023-05-25,0.9512521559741408
2023-05-26,0.9690238776757975
2023-05-29,0.9808577498707486
2023-05-30,1.00185338568097
2023-05-31,1.0150991103357392
2023-06-01,1.0256957447269313
2023-06-02,1.0033916469919504
2023-06-05,1.0184315303072897
2023-06-06,1.0163360769668943
2023-06-07,1.0194191911384158
2023-06-08,1.0064787644732276
2023-06-09,1.008669157074137
2023-06-12,1.0054494807653866
2023-06-13,1.0091557513315355
2023-06-14,1.0228926264423124
2023-06-27,1.0342736021632275
2023-07-03,1.0186087597069429
2023-07-04,1.0167584814300141
2023-07-05,1.0133413669424483
2023-07-06,1.018567914011213
2023-07-07,1.0186598088046384
2023-07-10,1.0081755524399478
2023-07-11,1.0071662325020534
2023-07-12,0.9962744908486201
2023-07-13,1.0056104573989642
2023-07-14,1.021468844063663
2023-07-17,1.032419331850506
2023-07-18,1.0295183250227806
2023-07-19,1.031685674708616
2023-07-20,1.0103389549159834
2023-07-21,1.00477260160991
2023-07-24,1.0153443902023371
2023-07-25,1.0079389362029065
2023-07-26,0.9973272065033865
2023-07-27,0.9998058841218105
2023-07-28,0.9916082442341229
2023-07-31,0.9817317797672961
2023-08-01,0.9850918649422841
2023-08-02,0.989529281369229
2023-08-03,0.9839715221679789
2023-08-04,0.9959626495168692
2023-08-07,1.003517811507704
2023-08-08,1.0022359547040052
2023-08-09,0.9898378462548761
2023-08-10,0.9823180952944358
2023-08-11,0.9838577389634929
2023-08-14,0.9953674164518616
2023-08-15,1.0021568444387103
2023-08-16,0.997753053870375
2023-08-17,1.0031151345513687
2023-08-18,0.9925810906804232
2023-08-21,1.0035896936636672
2023-08-22,1.0222299204571206
2023-08-23,1.0147384524929572
2023-08-24,1.0084413329265616
2023-08-25,0.9967364556255864
2023-08-28,0.9983866556337735
2023-08-29,0.9993630367001823
2023-08-30,1.0013787914417542
2023-08-31,1.005161152431869
2023-09-01,1.0064075510468666
2023-09-04,1.0089808095924209
2023-09-05,1.000473122466382
2023-09-06,0.9987999530744487
2023-09-07,0.998150830522182
2023-09-08,1.0042812207449223
2023-09-11,1.0150043252704906
2023-09-12,1.0103528700182511
2023-09-13,1.0052986324939779
2023-09-14,1.002933934841295
2023-09-15,0.994735615498447
2023-09-18,0.9917673852228616
2023-09-19,0.9960788915165285
2023-09-20,0.9936094660127682
2023-09-21,0.9943786822574685
2023-09-22,1.0128204463730854
2023-09-25,1.0059690326467186
2023-09-26,1.0206771719322598
2023-09-27,1.017651393501266
2023-09-28,1.01624791860482
2023-10-09,1.0106164281977317
2023-10-10,1.0073578248319717
2023-10-11,1.0018686458246413
2023-10-12,0.9981836163701178
2023-10-13,1.0002683039578122
2023-10-16,1.0152179042392255
2023-10-17,1.02002042324044
2023-10-18,1.0289319711151825
2023-10-19,1.0259186550294843
2023-10-20,1.0237917831152632
2023-10-23,1.0244153080178982
2023-10-24,1.0270137260795544
2023-10-25,1.024750241996868
2023-10-26,1.0263526275123245
2023-10-27,1.0046409099532314
2023-10-30,0.9907331571608594
2023-10-31,0.9901572450548659
2023-11-01,0.9895419018731375
2023-11-02,0.9943639299791462
2023-11-03,0.9886624725559628
2023-11-06,0.981203257720643
