date,m60,m120,vol60,size
2021-08-20,,,,-0.3694636271558804
2021-08-23,,,,-0.44141450314014846
2021-08-24,,,,-0.5007087051251968
2021-08-25,,,,-0.45587972230805274
2021-08-26,,,,-0.2755931437889185
2021-08-27,,,,-0.277639822373283
2021-08-30,,,,-0.09954168004461976
2021-08-31,,,,0.0045570824158065555
2021-09-01,,,,0.11047781284527501
2021-09-02,,,,0.1664991913563205
2021-09-03,,,,0.25749230828325137
2021-09-06,,,,0.1869708181449372
2021-09-07,,,,0.23884916744279258
2021-09-08,,,,0.3252670873613827
2021-09-09,,,,0.33833995468193573
2021-09-10,,,,0.32608486742443316
2021-09-13,,,,0.36019419746096987
2021-09-14,,,,0.30791985074901007
2021-09-15,,,,0.30583735095561443
2021-09-16,,,,0.31582070098701254
2021-09-17,,,,0.3231127574732337
2021-09-22,,,,0.35209228460483594
2021-09-23,,,,0.3730642893867561
2021-09-24,,,,0.3080463191769059
2021-09-27,,,,0.3121803510240401
2021-09-29,,,,0.3202803276020724
2021-10-27,,,,0.11428207615027804
2021-10-28,,,,0.072521053428521
2021-10-29,,,,0.00722325944846343
2021-11-01,,,,-0.04964210580218537
2021-11-02,,,0.040835158150125395,-0.09827935974192967
2021-11-03,,,0.0024166269670512605,-0.01665797854563632
2021-11-04,,,0.02996906244266975,-0.048192298087708446
2021-11-05,,,0.18768711872160146,-0.08858502280847971
2021-11-08,,,0.10377600032772444,-0.0014293592855208772
2021-11-09,,,0.05796831314072693,-0.11789696910843186
2021-11-10,,,0.17412174522183874,-0.13114078613672528
2021-11-11,,,0.1519775453967325,-0.18576218139397435
2021-11-12,,,0.03127242971375869,-0.23270665584063427
2021-11-15,,,0.12739983535256771,-0.2038314810612681
2021-11-16,,,0.09371014389847088,-0.23599491138370585
2021-11-17,,,-0.04341529858771238,-0.2793276522022157
2021-11-18,,,-0.0774969493455677,-0.24247781326833845
2021-11-19,,,-0.1395966496312522,-0.2839110677786758
2021-11-22,,,-0.15522819115575565,-0.2977784681244741
2021-11-23,,,-0.1562495732751804,-0.29047317332619627
2021-12-02,,,-0.24618666062197353,-0.2529896363825139
2021-12-03,,,-0.3730447263747799,-0.2950824373103535
2021-12-06,,,-0.3732720215478835,-0.3288440179245322
2021-12-07,,,-0.412894592204937,-0.36315635223825304
2021-12-08,,,-0.41372892407375167,-0.3887523559471484
2021-12-09,,,-0.4114751356130666,-0.46616804703694653
2021-12-10,,,-0.3705466994028081,-0.45160451188370243
2021-12-13,,,-0.46313133899340786,-0.5260433682328867
2021-12-14,,,-0.4102570930157136,-0.49056630826341924
2021-12-15,,,-0.4090342711032366,-0.3781218358333849
2021-12-16,,,-0.4450907899183761,-0.3715184567985333
2021-12-17,,,-0.449335922584647,-0.3111605960219866
2021-12-20,,,-0.42715606853537874,-0.3121030926110964
2021-12-23,,,-0.44524509352095554,-0.38392038745284757
2021-12-24,-0.06688686795893777,,-0.42229318747772043,-0.5293826570455115
2021-12-27,0.0335921048431715,,-0.3447449723311792,-0.5097298354652228
2021-12-28,0.06425448901516997,,-0.34748215437870605,-0.5541991774111588
2021-12-29,0.07143745949316484,,-0.3679656162414783,-0.5370471614849291
2021-12-30,-0.018512335753715064,,-0.3656019035329379,-0.5004790414053022
2021-12-31,-0.043721182218419134,,-0.3384615384615384,-0.43738827274566483
2022-01-04,-0.06115133701340597,,-0.25230619023722467,-0.4038438002949027
2022-01-05,-0.10205476412372962,,-0.11533306705720496,-0.3318399091112668
2022-01-06,-0.033408118286772356,,-0.16663082180323555,-0.3553808980203526
2022-01-07,-0.02303971662753066,,-0.09951901305760467,-0.2713653064098708
2022-01-10,-0.07881160260875662,,-0.07069461724421673,-0.25177410828602603
2022-01-11,-0.0639199259888915,,0.08097661890765337,-0.09194528836479673
2022-01-12,-0.008047001150449424,,0.03292538464952258,-0.16554088134373365
2022-01-13,0.014647235336890507,,0.17704836325525977,-0.05165688613964476
2022-01-14,-0.10479232179845398,,0.17210509067174787,-0.13069848476268545
2022-01-17,-0.16995725413961552,,0.1032468618675515,-0.17905526791452003
2022-01-18,-0.17504514745894054,,0.04575784575784575,-0.2122782779564877
2022-01-27,-0.22513646651577685,,0.08248073765315143,-0.29197099977394214
2022-01-28,-0.23134889341785891,,0.12919854299164643,-0.21584672311054923
2022-02-07,-0.19004850665128378,,0.0625516976986602,-0.22607587205965918
2022-02-08,-0.12051695821068545,,0.1417893557105578,-0.027072116866665722
2022-02-09,-0.10806987358711494,,0.11225313983934672,-0.027883581889329805
2022-02-10,-0.14124651366030674,,0.21074048660255554,0.08425124757371935
2022-02-11,-0.17396092568506358,,0.26087823329202636,0.1238323085097795
2022-02-14,-0.14748456921038575,,0.13753844788327543,-0.011036474063489494
2022-02-15,-0.13224569776293912,,0.03288919840643978,-0.03262023578445023
2022-02-16,-0.10907011596666767,,0.04458623079312734,0.01765618271078767
2022-02-17,-0.08118726401060854,,0.04003701238815819,0.06332496610951513
2022-02-18,-0.07706954194865455,,0.01689897551966517,0.013438414577736197
2022-02-21,-0.07677150435771124,,0.07723236688753929,0.05038731241608752
2022-02-22,-0.03741725810691327,,0.009246609246609246,-0.04347342959475022
2022-02-23,0.009788037374244269,,-0.07698657353829766,-0.11143301376174809
2022-02-24,0.07673736639253878,,-0.11514189445223925,-0.12526185975263052
