date,m60,m120,vol60,size
2022-03-02,-0.046627806369810565,,-0.11118728594915679,-0.1286981168961177
2022-03-03,-0.04436321623542177,,-0.11292208795368788,-0.12826117570187054
2022-03-04,-0.04059001937266349,,-0.11504836100653944,-0.1282673104609894
2022-03-07,-0.036970678697549816,,-0.11825801242664051,-0.12884307380077054
2022-03-08,-0.032525724858838326,,-0.12049749239392638,-0.12949618667034296
2022-03-09,-0.026035632098088516,,-0.12444454242095887,-0.13159757303607392
2022-03-10,-0.020470143267524107,,-0.12876909807161882,-0.13368391448429373
2022-03-11,-0.013243283563294463,,-0.13319402406701403,-0.13583667137068528
2022-03-14,-0.0059363020895804785,,-0.13620320866915644,-0.1372790031912696
2022-03-15,0.0006389457063907606,,-0.13839871689846117,-0.13932416641134793
2022-03-16,0.007132715511271419,,-0.14015847146766824,-0.14097007326007224
2022-03-17,0.015181972551961973,,-0.14274984659942702,-0.14377051904520385
2022-03-18,0.021499643659414973,,-0.14551062403866896,-0.14569652607045702
2022-03-21,0.024547408195018564,,-0.14688502356939898,-0.14658950269044177
2022-03-22,0.028037991857488162,,-0.14730894616282053,-0.14693784002484145
2022-03-23,0.03203821684526925,,-0.14841000951503514,-0.14756740167840668
2022-03-24,0.035840366672529995,,-0.14982193125431634,-0.14853868397392164
2022-03-25,0.03823525349006513,,-0.15026147427943443,-0.1488772837167594
2022-03-28,0.03853640717140866,,-0.1494365444351289,-0.14804941331612026
2022-03-29,0.03686733292700976,,-0.14868783958298712,-0.14706186236750746
2022-03-30,0.03777418661827451,,-0.14825143574274194,-0.14677508806801529
2022-03-31,0.03836262185803047,,-0.14711427122891288,-0.14631909041272342
2022-04-01,0.03804249312097196,,-0.14506580780914977,-0.14505337212510105
2022-04-06,0.03463162206863512,,-0.1414885062933207,-0.14273253653107373
2022-04-07,0.030690600696481257,,-0.13772345312344006,-0.14033380239094623
2022-04-11,0.023821646459808426,,-0.13270689804562072,-0.13746997166191813
2022-04-12,0.01924228420849008,,-0.12867326212662766,-0.13499131947983856
2022-04-13,0.01464275151310462,,-0.12437249431362128,-0.1327332727766743
2022-04-14,0.010583469804358592,,-0.12084496050358559,-0.13111177845274166
2022-04-15,0.004734942995849666,,-0.11620294424156209,-0.12859857844154188
2022-04-18,0.0008569999206366847,,-0.11289550145151084,-0.12706599089344436
2022-04-19,-0.0041528848838377165,,-0.10968639420791043,-0.12519847209947618
2022-04-20,-0.009459278991145178,,-0.10551993534050136,-0.12297021713363045
2022-04-29,-0.015016604292506263,,-0.10145368038820006,-0.1209267963868026
2022-05-05,-0.021572662276178534,,-0.09754483182619307,-0.11841572078917233
2022-05-06,-0.027768425186308312,,-0.0938682897811049,-0.11611745353623369
2022-05-09,-0.033004310948826755,,-0.09052636381397917,-0.11383005214741042
2022-05-10,-0.03772485799561655,,-0.08735985755551641,-0.11178120215893658
2022-05-11,-0.04209622421164851,,-0.08460830388912724,-0.10963521402472011
2022-05-12,-0.045790163666336224,,-0.08126893331081694,-0.10735134338877887
2022-05-13,-0.04961356554145904,,-0.07779514835239658,-0.10497888665814746
2022-05-16,-0.05350174258830256,,-0.07476855325074015,-0.1022342212007638
2022-05-17,-0.05702158520965733,,-0.0718873065618429,-0.09960210123056323
2022-05-19,-0.05946470012358103,,-0.06919465630935956,-0.0969156183617236
2022-05-20,-0.06075145127022678,,-0.06680606528258078,-0.094609780450948
2022-05-23,-0.06150083973191635,,-0.06440298924778708,-0.09228382551315092
2022-05-24,-0.06313954557045198,,-0.06203349382761065,-0.08972536244171948
2022-05-25,-0.06471844255554918,,-0.05990245203473299,-0.08707802640756375
2022-05-26,-0.06650979822795686,,-0.05774879542791653,-0.08420629933317973
2022-06-13,-0.06803089669379205,,-0.057683848040527244,-0.08271911612977587
2022-06-14,-0.0697112806687406,,-0.05754166867136532,-0.08112053713027625
2022-06-15,-0.07039683091629463,,-0.05647268100893488,-0.07906067454458707
2022-06-16,-0.06979391328313118,,-0.055330714838990915,-0.07679746366897057
2022-06-17,-0.06941857927449498,-0.22482825890450728,-0.054484088438990955,-0.07515508699337599
2022-06-20,-0.06769166252129671,-0.21416843455051007,-0.05363306925661985,-0.07407264376303643
2022-06-21,-0.06633921050415524,-0.20515996319471852,-0.05229710228517782,-0.0727356121782232
2022-06-22,-0.06651222867319588,-0.20187686356495183,-0.051213864630503994,-0.07104082855153439
2022-06-23,-0.06674103815843699,-0.1967047322669242,-0.05086796924904563,-0.0698201099888934
2022-06-24,-0.06599450965470174,-0.18731420511156596,-0.05127383132854875,-0.06939369300041777
2022-06-27,-0.06550954057421181,-0.17750394208474107,-0.051886562131312104,-0.06936947892655927
2022-06-28,-0.06453529066149646,-0.16748637014632606,-0.05284352559703735,-0.06948857473517508
2022-06-29,-0.06429003174007288,-0.16092104518069372,-0.05289230551924081,-0.06939063749566994
2022-06-30,-0.0646495557303697,-0.15557284792840292,-0.053407198916737494,-0.07023278977331464
2022-07-01,-0.06412866400976429,-0.14691685037403202,-0.053576451964903904,-0.07130584177544319
2022-07-04,-0.06375080594394954,-0.1383983109876562,-0.054125187435399284,-0.07254107575705539
2022-07-05,-0.0635333151206134,-0.13124683913436955,-0.054554510326175455,-0.07377730739151366
2022-07-06,-0.06294320723354145,-0.12329515393429749,-0.05498734897073868,-0.0752066479324625
2022-07-07,-0.062496397375451866,-0.11561411750049055,-0.056453213090869835,-0.07663754667080765
2022-07-08,-0.06212329844357047,-0.10816174448895678,-0.057844762951770386,-0.07806269472063139
2022-07-11,-0.06177024700690692,-0.10252316051304584,-0.05902909687837664,-0.07932592081488257
2022-07-12,-0.06108469932516177,-0.09685524032358586,-0.059858023344529755,-0.08058098447092804
2022-07-14,-0.06055440156257435,-0.0915912895235476,-0.06101023082515584,-0.08232292753088666
2022-07-15,-0.0606343333583032,-0.08701013124934316,-0.06208999856835748,-0.08431804782258982
2022-07-18,-0.059946423710073186,-0.08117488100274015,-0.06328043453082431,-0.08605283379184799
2022-07-19,-0.059180829256352624,-0.07475356939637696,-0.06461170052770597,-0.08765412023035982
2022-07-20,-0.05814268812745087,-0.06823286343731486,-0.06593808480954907,-0.08897440822931216
2022-07-21,-0.05709649258736634,-0.0610277529980057,-0.06729497283154345,-0.0902197438756192
2022-07-22,-0.05673836082293229,-0.054477840785809126,-0.06903407340671669,-0.09152377717776865
2022-07-25,-0.05611520004565751,-0.0479717032392605,-0.07067143802646987,-0.09253001298471183
2022-07-26,-0.055200023826763325,-0.0411388785743186,-0.07227006986880957,-0.09350249656864289
2022-07-27,-0.053857744909807104,-0.034580049922137535,-0.07377002642753715,-0.09435308021522185
2022-07-28,-0.05305316214907183,-0.027583852203780766,-0.07551566404199987,-0.09561724723648803
2022-07-29,-0.05279705254385142,-0.021667389294928657,-0.07721989248372803,-0.09683728819184226
2022-08-25,-0.052945311329108485,-0.01661089466932524,-0.07901070576172894,-0.09776259284842236
2022-08-26,-0.05197520543765945,-0.01084755103386884,-0.08020256668230873,-0.09790698808944034
2022-08-29,-0.051969859701289915,-0.007003959612188867,-0.08152189892089856,-0.09769257763291082
2022-08-30,-0.051618269771844236,-0.002294547262054343,-0.08301515759140063,-0.09752897348011763
2022-08-31,-0.05011195165638995,0.0041137643208572945,-0.0832820511492232,-0.09692156319225613
2022-09-01,-0.04905167692417856,0.010494742440528955,-0.08422629589070266,-0.09682209635533867
2022-09-02,-0.04858819014205398,0.017262351369318238,-0.08547726139050375,-0.09719377558970535
2022-09-05,-0.04769358478724114,0.02285537680345209,-0.08655767023749908,-0.0971755724125707
2022-09-06,-0.04748248323569884,0.02672064777597753,-0.08796413167741424,-0.09723822113112747
