cum,ann,vol,sharpe,window_idx,test_start,test_end,momo,long_pct,cost,adv_lookback,max_pct_adv,impact_coeff
0.5436250431162533,0.18737519244856782,0.2723592124953817,0.7672406005868414,0,2021-08-20 00:00:00,2023-01-06 00:00:00,60,0.2,0.0006,10,0.1,0.0002
0.5436250431152667,0.1873751924482676,0.2723592124953809,0.767240600585914,0,2021-08-20 00:00:00,2023-01-06 00:00:00,60,0.2,0.0006,10,0.1,0.0005
0.5436250431162533,0.18737519244856782,0.2723592124953817,0.7672406005868414,0,2021-08-20 00:00:00,2023-01-06 00:00:00,60,0.2,0.0006,10,0.2,0.0002
0.5436250431152667,0.1873751924482676,0.2723592124953809,0.767240600585914,0,2021-08-20 00:00:00,2023-01-06 00:00:00,60,0.2,0.0006,10,0.2,0.0005
0.5436250431162601,0.18737519244856982,0.2723592124953819,0.7672406005868484,0,2021-08-20 00:00:00,2023-01-06 00:00:00,60,0.2,0.0006,20,0.1,0.0002
0.5436250431152845,0.18737519244827294,0.2723592124953816,0.7672406005859318,0,2021-08-20 00:00:00,2023-01-06 00:00:00,60,0.2,0.0006,20,0.1,0.0005
0.5436250431162601,0.18737519244856982,0.2723592124953819,0.7672406005868484,0,2021-08-20 00:00:00,2023-01-06 00:00:00,60,0.2,0.0006,20,0.2,0.0002
0.5436250431152845,0.18737519244827294,0.2723592124953816,0.7672406005859318,0,2021-08-20 00:00:00,2023-01-06 00:00:00,60,0.2,0.0006,20,0.2,0.0005
0.530485028775427,0.1833663040499418,0.2723641696218312,0.7548079047010589,0,2021-08-20 00:00:00,2023-01-06 00:00:00,60,0.2,0.0012,10,0.1,0.0002
0.5304850287744494,0.18336630404964271,0.27236416962183063,0.754807904700131,0,2021-08-20 00:00:00,2023-01-06 00:00:00,60,0.2,0.0012,10,0.1,0.0005
0.530485028775427,0.1833663040499418,0.2723641696218312,0.7548079047010589,0,2021-08-20 00:00:00,2023-01-06 00:00:00,60,0.2,0.0012,10,0.2,0.0002
0.5304850287744494,0.18336630404964271,0.27236416962183063,0.754807904700131,0,2021-08-20 00:00:00,2023-01-06 00:00:00,60,0.2,0.0012,10,0.2,0.0005
0.5304850287754361,0.18336630404994447,0.2723641696218314,0.7548079047010662,0,2021-08-20 00:00:00,2023-01-06 00:00:00,60,0.2,0.0012,20,0.1,0.0002
0.5304850287744691,0.1833663040496487,0.2723641696218313,0.7548079047001487,0,2021-08-20 00:00:00,2023-01-06 00:00:00,60,0.2,0.0012,20,0.1,0.0005
0.5304850287754361,0.18336630404994447,0.2723641696218314,0.7548079047010662,0,2021-08-20 00:00:00,2023-01-06 00:00:00,60,0.2,0.0012,20,0.2,0.0002
0.5304850287744691,0.1833663040496487,0.2723641696218313,0.7548079047001487,0,2021-08-20 00:00:00,2023-01-06 00:00:00,60,0.2,0.0012,20,0.2,0.0005
